#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
0.0%,0,-90395.57709401898,48077.70368646504,-42317.87340755394,311.94770573827327,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,5000000,-57277.83493703656,47305.90845978167,-9971.926477254892,306.93998424155365,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.0%,10000000,-57972.37292283826,47362.299505314324,-10610.073417523934,307.30587229213137,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
3.0%,15000000,-57961.72895139508,48236.55275593628,-9725.1761954588,312.9783831413242,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
4.0%,20000000,-57987.22819036298,47837.04553660314,-10150.182653759839,310.38621773114596,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
5.0%,25000000,-57754.584877908754,47926.453436619835,-9828.131441288919,310.9663325691376,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
6.0%,30000000,-57894.55711835675,47649.97869883571,-10244.578419521044,309.17245196475614,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
7.0%,35000000,-57640.13502830319,48337.5842615405,-9302.550766762695,313.6339166623519,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
8.0%,40000000,-58060.65729993634,48447.61745961965,-9613.039840316691,314.3478568272084,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
9.0%,45000000,-59188.93161863141,48100.30231934972,-11088.629299281689,312.0943348644722,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
10.0%,50000000,-57980.894189775514,47773.475132100866,-10207.419057674648,309.9737470780827,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
11.0%,55000000,-58275.288989008,47993.20796891791,-10282.081020090089,311.39946313905455,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
12.0%,60000000,-57663.77861207776,47230.963282799814,-10432.815329277946,306.45370943591604,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
13.0%,65000000,-57747.56220954709,47838.14657285041,-9909.415636696678,310.39336170236203,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
14.0%,70000000,-59236.67051595502,48187.78240926453,-11048.888106690487,312.6619412860407,5591.24383331643,0.03172428601938044,0,--
