#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
0.0%,0,-90139.97995466046,47645.063735748525,-42494.91621891194,309.1405616842046,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
1.0%,5000000,-56416.425311983156,47656.10070710955,-8760.324604873604,309.2121740456607,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2.0%,10000000,-56858.87467473798,48752.403990872204,-8106.470683865773,316.32543586850784,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
3.0%,15000000,-57473.68449109845,48429.19100514706,-9044.493485951389,314.22829849232824,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
4.0%,20000000,-57593.89598935895,47535.10128973526,-10058.794699623686,308.4270805875427,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
5.0%,25000000,-57949.31243830972,47863.13379513059,-10086.178643179126,310.55548896854566,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
6.0%,30000000,-57981.86496442609,47609.392860124935,-10372.472104301152,308.9091145276386,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
7.0%,35000000,-58452.32223171048,47986.61730178085,-10465.704929929634,311.35670020873454,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
8.0%,40000000,-57490.59956258588,48370.12913672859,-9120.47042585729,313.8450810560316,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
9.0%,45000000,-58047.05529683881,47671.15493418649,-10375.900362652319,309.30985199694004,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
10.0%,50000000,-58086.37595266156,47664.91904616589,-10421.456906495674,309.26939101789765,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
11.0%,55000000,-58917.648089349794,47769.80028135795,-11147.847807991842,309.94990315105866,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
12.0%,60000000,-58527.55925649457,48331.8696473852,-10195.689609109366,313.5968379202691,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
13.0%,65000000,-59609.18470901303,48116.22436683194,-11492.96034218109,312.1976435876826,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
14.0%,70000000,-58945.19963353925,47787.31839029002,-11157.881243249227,310.0635677704396,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
15.0%,75000000,-59240.98830932431,48291.0124614276,-10949.975847896712,313.33173987179504,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
16.0%,80000000,-58793.54901403241,47900.47303469782,-10893.075979334593,310.79776114928393,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
17.0%,85000000,-59062.96092933469,47274.4676858359,-11788.493243498786,306.7359837060252,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
18.0%,90000000,-58270.04110425763,48064.788981307735,-10205.252122949896,311.86390987584235,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
19.0%,95000000,-58719.76268190198,48452.60689381114,-10267.155788090837,314.3802303065891,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
20.0%,100000000,-58788.09303373151,47848.30084740999,-10939.792186321516,310.4592467677752,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
21.0%,105000000,-59505.51155561261,47340.11523962091,-12165.396315991704,307.16193174888747,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
22.0%,110000000,-58985.99906820111,48360.59248605161,-10625.406582149502,313.7832033856979,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
23.0%,115000000,-58449.63407796674,47339.6226338048,-11110.011444161937,307.15873552189686,5591.24383331643,0.03172428601938044,0,--
#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
24.0%,120000000,-58509.23112005048,48022.129013923695,-10487.102106126782,311.58711464786916,5591.24383331643,0.03172428601938044,0,--
